Joanne, Baseline,209697.0207024239,ITK-SNAP,20230611_230518
Joanne, Baseline,209697.0207024239,ITK-SNAP,20230611_230657
Joanne, Baseline,209697.0207024239,ITK-SNAP,20230611_230747
Joanne, Baseline,209697.0207024239,ITK-SNAP,20230611_231211
Joanne, Baseline,209697.0207024239,ITK-SNAP,20230611_231327
Joanne, Baseline,209697.0207024239,ITK-SNAP,20230611_231441
Joanne, Baseline,209697.0207024239,ITK-SNAP,20230611_231540
Joanne, Baseline,209697.0207024239,ITK-SNAP,20230611_231613
Joao, Baseline,130.06,ITK-SNAP,20230612_174611
Joao, Baseline,130.06,ITK-SNAP,20230612_180039
Joao, Baseline,16.760000000000005,ITK-SNAP,20230612_180704
